ID_Transaccion,Valor_Declarado_USD,Aplica_De_Minimis,Aranceles_IGV_USD,Dias_Retencion_Sunat
TRX000001,14.0,True,0.0,0
TRX000002,5.15,True,0.0,0
TRX000003,33.65,True,0.0,1
TRX000004,27.87,True,0.0,0
TRX000005,23.74,True,0.0,1
TRX000006,5.79,True,0.0,0
TRX000007,4.42,True,0.0,0
TRX000008,1.98,True,0.0,0
TRX000009,78.66,True,0.0,0
TRX000010,34.24,True,0.0,0
TRX000011,8.88,True,0.0,1
TRX000012,34.2,True,0.0,1
TRX000013,1.98,True,0.0,0
TRX000014,37.9,True,0.0,1
TRX000015,15.97,True,0.0,0
TRX000016,0.99,True,0.0,0
TRX000017,30.01,True,0.0,0
TRX000018,18.26,True,0.0,1
TRX000019,23.05,True,0.0,0
TRX000020,18.93,True,0.0,1
TRX000021,10.53,True,0.0,0
TRX000022,44.46,True,0.0,0
TRX000023,15.05,True,0.0,1
TRX000024,5.24,True,0.0,1
TRX000025,0.99,True,0.0,0
TRX000026,19.94,True,0.0,1
TRX000027,11.32,True,0.0,1
TRX000028,6.89,True,0.0,0
TRX000029,16.4,True,0.0,1
TRX000030,19.57,True,0.0,1
TRX000031,0.99,True,0.0,1
TRX000032,0.99,True,0.0,1
TRX000033,4.04,True,0.0,0
TRX000034,28.65,True,0.0,0
TRX000035,22.76,True,0.0,1
TRX000036,20.99,True,0.0,1
TRX000037,13.16,True,0.0,0
TRX000038,4.23,True,0.0,1
TRX000039,10.17,True,0.0,0
TRX000040,13.09,True,0.0,0
TRX000041,20.26,True,0.0,1
TRX000042,6.74,True,0.0,0
TRX000043,11.48,True,0.0,0
TRX000044,1.67,True,0.0,0
TRX000045,8.52,True,0.0,1
TRX000046,10.31,True,0.0,0
TRX000047,7.52,True,0.0,1
TRX000048,0.99,True,0.0,0
TRX000049,19.04,True,0.0,1
TRX000050,42.74,True,0.0,1
TRX000051,71.91,True,0.0,0
TRX000052,3.78,True,0.0,1
TRX000053,55.95,True,0.0,0
TRX000054,34.74,True,0.0,0
TRX000055,6.09,True,0.0,1
TRX000056,0.99,True,0.0,1
TRX000057,20.36,True,0.0,1
TRX000058,5.85,True,0.0,0
TRX000059,2.27,True,0.0,0
TRX000060,73.02,True,0.0,0
TRX000061,52.2,True,0.0,1
TRX000062,16.8,True,0.0,1
TRX000063,24.07,True,0.0,1
TRX000064,1.34,True,0.0,0
TRX000065,82.56,True,0.0,1
TRX000066,12.73,True,0.0,0
TRX000067,18.86,True,0.0,1
TRX000068,1.98,True,0.0,0
TRX000069,85.01,True,0.0,0
TRX000070,3.62,True,0.0,1
TRX000071,17.21,True,0.0,0
TRX000072,4.82,True,0.0,1
TRX000073,15.71,True,0.0,0
TRX000074,55.78,True,0.0,1
TRX000075,19.56,True,0.0,1
TRX000076,7.77,True,0.0,0
TRX000077,25.69,True,0.0,1
TRX000078,0.99,True,0.0,1
TRX000079,34.02,True,0.0,1
TRX000080,19.22,True,0.0,1
TRX000081,13.95,True,0.0,1
TRX000082,6.69,True,0.0,1
TRX000083,7.57,True,0.0,1
TRX000084,32.23,True,0.0,0
TRX000085,43.78,True,0.0,1
TRX000086,21.73,True,0.0,1
TRX000087,50.25,True,0.0,0
TRX000088,4.84,True,0.0,1
TRX000089,17.17,True,0.0,1
TRX000090,19.06,True,0.0,1
TRX000091,13.02,True,0.0,0
TRX000092,8.02,True,0.0,0
TRX000093,29.77,True,0.0,1
TRX000094,75.08,True,0.0,1
TRX000095,2.1,True,0.0,1
TRX000096,6.92,True,0.0,1
TRX000097,5.37,True,0.0,1
TRX000098,12.94,True,0.0,1
TRX000099,8.35,True,0.0,1
TRX000100,80.93,True,0.0,1
TRX000101,11.87,True,0.0,1
TRX000102,23.73,True,0.0,1
TRX000103,11.63,True,0.0,1
TRX000104,4.41,True,0.0,1
TRX000105,7.58,True,0.0,1
TRX000106,40.28,True,0.0,0
TRX000107,0.99,True,0.0,0
TRX000108,26.69,True,0.0,0
TRX000109,2.97,True,0.0,0
TRX000110,10.51,True,0.0,0
TRX000111,9.0,True,0.0,1
TRX000112,0.99,True,0.0,0
TRX000113,1.49,True,0.0,1
TRX000114,78.88,True,0.0,1
TRX000115,24.07,True,0.0,1
TRX000116,61.68,True,0.0,1
TRX000117,13.11,True,0.0,1
TRX000118,13.54,True,0.0,0
TRX000119,9.97,True,0.0,0
TRX000120,8.47,True,0.0,1
TRX000121,30.0,True,0.0,1
TRX000122,7.91,True,0.0,0
TRX000123,101.13,True,0.0,1
TRX000124,18.56,True,0.0,1
TRX000125,32.48,True,0.0,0
TRX000126,53.44,True,0.0,1
TRX000127,0.99,True,0.0,0
TRX000128,17.16,True,0.0,0
TRX000129,44.88,True,0.0,1
TRX000130,33.98,True,0.0,0
TRX000131,8.75,True,0.0,1
TRX000132,28.03,True,0.0,0
TRX000133,12.67,True,0.0,0
TRX000134,19.59,True,0.0,0
TRX000135,26.8,True,0.0,0
TRX000136,15.06,True,0.0,0
TRX000137,44.3,True,0.0,0
TRX000138,0.99,True,0.0,0
TRX000139,22.3,True,0.0,1
TRX000140,35.72,True,0.0,1
TRX000141,42.01,True,0.0,0
TRX000142,59.06,True,0.0,1
TRX000143,0.99,True,0.0,1
TRX000144,0.99,True,0.0,0
TRX000145,9.53,True,0.0,0
TRX000146,16.26,True,0.0,1
TRX000147,34.71,True,0.0,1
TRX000148,59.05,True,0.0,1
TRX000149,22.08,True,0.0,1
TRX000150,15.52,True,0.0,1
TRX000151,4.28,True,0.0,1
TRX000152,11.96,True,0.0,0
TRX000153,26.05,True,0.0,1
TRX000154,3.11,True,0.0,1
TRX000155,4.0,True,0.0,1
TRX000156,5.09,True,0.0,0
TRX000157,22.26,True,0.0,0
TRX000158,32.38,True,0.0,1
TRX000159,0.99,True,0.0,0
TRX000160,51.16,True,0.0,1
TRX000161,11.32,True,0.0,1
TRX000162,7.04,True,0.0,1
TRX000163,2.97,True,0.0,0
TRX000164,34.65,True,0.0,1
TRX000165,0.99,True,0.0,0
TRX000166,0.99,True,0.0,1
TRX000167,4.5,True,0.0,0
TRX000168,8.25,True,0.0,0
TRX000169,8.36,True,0.0,1
TRX000170,0.99,True,0.0,0
TRX000171,4.61,True,0.0,0
TRX000172,41.36,True,0.0,0
TRX000173,5.64,True,0.0,1
TRX000174,7.8,True,0.0,0
TRX000175,12.2,True,0.0,0
TRX000176,0.99,True,0.0,1
TRX000177,0.99,True,0.0,0
TRX000178,25.05,True,0.0,0
TRX000179,15.73,True,0.0,0
TRX000180,2.71,True,0.0,0
TRX000181,11.58,True,0.0,0
TRX000182,7.67,True,0.0,0
TRX000183,2.88,True,0.0,0
TRX000184,22.74,True,0.0,1
TRX000185,9.62,True,0.0,1
TRX000186,0.99,True,0.0,1
TRX000187,0.99,True,0.0,0
TRX000188,11.15,True,0.0,1
TRX000189,13.35,True,0.0,1
TRX000190,13.95,True,0.0,0
TRX000191,7.88,True,0.0,1
TRX000192,28.74,True,0.0,1
TRX000193,3.15,True,0.0,1
TRX000194,52.16,True,0.0,1
TRX000195,3.53,True,0.0,0
TRX000196,19.32,True,0.0,1
TRX000197,8.91,True,0.0,0
TRX000198,11.76,True,0.0,1
TRX000199,18.34,True,0.0,0
TRX000200,14.71,True,0.0,1
TRX000201,14.16,True,0.0,0
TRX000202,0.99,True,0.0,0
TRX000203,12.69,True,0.0,1
TRX000204,40.7,True,0.0,1
TRX000205,1.98,True,0.0,1
TRX000206,4.0,True,0.0,0
