ID_Transaccion,Fecha_Compra,Dias_Transito_Internacional,Costo_Envio_Subsidiado_USD,Dias_Ultima_Milla_Peru
TRX000001,2024-07-08,8,0,2
TRX000002,2024-06-04,11,0,5
TRX000003,2024-05-22,12,0,5
TRX000004,2024-07-31,13,0,6
TRX000005,2024-06-22,11,0,3
TRX000006,2024-08-03,14,0,4
TRX000007,2024-06-11,12,0,5
TRX000008,2024-08-12,14,0,4
TRX000009,2024-05-12,12,0,4
TRX000010,2024-05-22,13,0,4
TRX000011,2024-09-17,12,0,5
TRX000012,2024-08-18,9,0,3
TRX000013,2024-07-12,12,0,1
TRX000014,2024-10-01,13,2.99,4
TRX000015,2024-05-20,15,4.99,3
TRX000016,2024-08-31,12,0,2
TRX000017,2024-08-17,11,0,1
TRX000018,2024-09-15,8,2.99,2
TRX000019,2024-08-01,6,0,7
TRX000020,2024-06-05,11,2.99,3
TRX000021,2024-10-28,11,0,4
TRX000022,2024-09-30,12,0,2
TRX000023,2024-06-05,9,0,2
TRX000024,2024-10-12,16,0,3
TRX000025,2024-06-28,10,4.99,2
TRX000026,2024-06-17,15,0,1
TRX000027,2024-08-04,9,0,2
TRX000028,2024-05-17,12,2.99,3
TRX000029,2024-09-01,13,2.99,4
TRX000030,2024-08-09,10,0,1
TRX000031,2024-08-31,11,0,1
TRX000032,2024-06-25,13,0,1
TRX000033,2024-10-22,14,0,2
TRX000034,2024-07-19,5,0,1
TRX000035,2024-07-30,14,0,3
TRX000036,2024-06-01,15,0,2
TRX000037,2024-05-22,13,0,2
TRX000038,2024-09-21,17,0,3
TRX000039,2024-10-12,14,0,1
TRX000040,2024-07-21,9,0,4
TRX000041,2024-07-21,12,0,1
TRX000042,2024-05-06,16,0,2
TRX000043,2024-08-16,13,0,1
TRX000044,2024-06-20,10,0,4
TRX000045,2024-09-30,15,0,3
TRX000046,2024-09-05,12,4.99,2
TRX000047,2024-06-18,8,0,1
TRX000048,2024-05-04,10,0,4
TRX000049,2024-09-16,9,0,1
TRX000050,2024-09-16,9,0,3
TRX000051,2024-10-05,11,0,3
TRX000052,2024-10-18,11,0,4
TRX000053,2024-08-27,6,0,1
TRX000054,2024-10-16,11,0,5
TRX000055,2024-09-10,12,0,3
TRX000056,2024-10-12,11,2.99,3
TRX000057,2024-06-02,13,0,1
TRX000058,2024-05-24,12,0,3
TRX000059,2024-07-31,12,0,3
TRX000060,2024-07-10,13,0,3
TRX000061,2024-06-16,11,0,4
TRX000062,2024-09-02,13,0,2
TRX000063,2024-09-23,10,0,1
TRX000064,2024-07-05,13,0,2
TRX000065,2024-10-25,13,0,4
TRX000066,2024-09-04,5,2.99,4
TRX000067,2024-06-12,11,0,4
TRX000068,2024-10-03,10,0,3
TRX000069,2024-10-02,7,4.99,4
TRX000070,2024-06-17,11,0,3
TRX000071,2024-07-22,12,0,4
TRX000072,2024-10-19,17,0,4
TRX000073,2024-08-16,17,0,4
TRX000074,2024-09-25,18,0,2
TRX000075,2024-05-25,11,0,3
TRX000076,2024-10-04,14,4.99,3
TRX000077,2024-07-22,12,0,4
TRX000078,2024-07-06,12,0,2
TRX000079,2024-06-02,13,0,2
TRX000080,2024-07-01,8,4.99,1
TRX000081,2024-07-02,14,0,1
TRX000082,2024-08-07,12,0,3
TRX000083,2024-08-02,7,0,1
TRX000084,2024-07-18,15,0,2
TRX000085,2024-09-13,12,2.99,1
TRX000086,2024-07-25,14,0,3
TRX000087,2024-09-10,13,0,1
TRX000088,2024-07-01,13,0,3
TRX000089,2024-06-22,14,0,3
TRX000090,2024-10-07,9,2.99,3
TRX000091,2024-10-18,14,0,1
TRX000092,2024-09-27,18,0,3
TRX000093,2024-05-25,8,0,5
TRX000094,2024-08-26,14,0,3
TRX000095,2024-06-26,7,0,2
TRX000096,2024-08-05,6,2.99,1
TRX000097,2024-08-15,16,0,4
TRX000098,2024-07-28,10,0,6
TRX000099,2024-09-02,11,0,2
TRX000100,2024-08-19,8,0,5
TRX000101,2024-06-20,13,0,1
TRX000102,2024-05-26,17,0,1
TRX000103,2024-08-15,10,0,1
TRX000104,2024-08-20,15,0,4
TRX000105,2024-09-21,13,0,5
TRX000106,2024-09-17,16,0,1
TRX000107,2024-05-22,13,0,5
TRX000108,2024-05-16,14,0,4
TRX000109,2024-10-11,9,0,3
TRX000110,2024-10-02,14,0,1
TRX000111,2024-06-17,16,0,4
TRX000112,2024-06-17,15,0,4
TRX000113,2024-10-18,16,0,2
TRX000114,2024-08-08,14,0,3
TRX000115,2024-06-10,11,0,1
TRX000116,2024-10-15,11,0,1
TRX000117,2024-08-29,11,0,2
TRX000118,2024-09-27,9,0,1
TRX000119,2024-06-29,8,0,5
TRX000120,2024-05-17,14,0,3
TRX000121,2024-10-11,10,0,2
TRX000122,2024-09-13,12,0,2
TRX000123,2024-09-17,6,0,3
TRX000124,2024-07-30,8,2.99,5
TRX000125,2024-05-26,9,0,3
TRX000126,2024-06-10,13,0,2
TRX000127,2024-07-07,10,0,2
TRX000128,2024-10-17,12,0,2
TRX000129,2024-09-19,10,0,2
TRX000130,2024-07-17,13,0,1
TRX000131,2024-09-01,10,0,5
TRX000132,2024-10-05,14,0,2
TRX000133,2024-09-15,12,0,1
TRX000134,2024-05-12,10,2.99,4
TRX000135,2024-09-17,12,2.99,3
TRX000136,2024-07-14,13,2.99,2
TRX000137,2024-06-22,9,0,5
TRX000138,2024-05-10,16,0,2
TRX000139,2024-05-22,9,0,5
TRX000140,2024-06-17,10,0,1
TRX000141,2024-05-08,8,0,1
TRX000142,2024-10-21,9,0,7
TRX000143,2024-07-11,13,0,4
TRX000144,2024-08-01,11,0,4
TRX000145,2024-08-27,10,0,3
TRX000146,2024-10-04,5,0,1
TRX000147,2024-05-13,15,0,3
TRX000148,2024-05-16,20,4.99,1
TRX000149,2024-09-08,10,0,3
TRX000150,2024-07-23,9,4.99,2
TRX000151,2024-09-29,10,2.99,5
TRX000152,2024-06-08,5,0,6
TRX000153,2024-06-01,11,0,4
TRX000154,2024-07-02,9,4.99,5
TRX000155,2024-09-21,14,0,1
TRX000156,2024-06-02,14,2.99,2
TRX000157,2024-09-07,9,0,4
TRX000158,2024-09-19,11,0,1
TRX000159,2024-08-17,11,0,2
TRX000160,2024-05-12,18,2.99,4
TRX000161,2024-09-28,7,0,6
TRX000162,2024-09-08,11,0,1
TRX000163,2024-08-18,9,0,2
TRX000164,2024-10-05,10,0,4
TRX000165,2024-05-28,10,0,4
TRX000166,2024-06-19,17,0,3
TRX000167,2024-10-28,11,2.99,3
TRX000168,2024-07-30,13,0,1
TRX000169,2024-10-28,16,0,1
TRX000170,2024-05-10,16,0,2
TRX000171,2024-07-12,13,0,4
TRX000172,2024-06-23,11,0,2
TRX000173,2024-06-29,12,0,4
TRX000174,2024-07-13,9,0,3
TRX000175,2024-09-01,9,0,4
TRX000176,2024-08-13,16,0,3
TRX000177,2024-07-26,15,0,2
TRX000178,2024-10-05,10,0,2
TRX000179,2024-05-17,9,0,1
TRX000180,2024-06-11,14,0,2
TRX000181,2024-05-11,8,0,3
TRX000182,2024-08-05,11,0,2
TRX000183,2024-09-16,11,0,2
TRX000184,2024-05-06,10,0,4
TRX000185,2024-07-12,12,0,4
TRX000186,2024-05-28,8,0,3
TRX000187,2024-05-22,10,2.99,3
TRX000188,2024-09-11,11,0,1
TRX000189,2024-10-01,6,0,2
TRX000190,2024-07-22,8,0,3
TRX000191,2024-06-01,9,4.99,3
TRX000192,2024-06-05,11,0,1
TRX000193,2024-06-06,11,2.99,2
TRX000194,2024-07-24,16,2.99,1
TRX000195,2024-07-19,12,0,2
TRX000196,2024-10-10,9,0,2
TRX000197,2024-07-05,10,0,1
TRX000198,2024-05-27,14,0,4
TRX000199,2024-10-05,12,2.99,3
TRX000200,2024-08-29,10,0,4
TRX000201,2024-10-02,16,2.99,5
TRX000202,2024-07-04,10,0,1
TRX000203,2024-06-18,9,0,2
TRX000204,2024-07-24,14,0,3
TRX000205,2024-07-10,9,2.99,1
TRX000206,2024-10-13,12,0,1
TRX000207,2024-05-15,10,0,1
TRX000208,2024-07-21,13,4.99,2
TRX000209,2024-05-17,10,0,3
TRX000210,2024-09-07,8,2.99,4
TRX000211,2024-09-22,14,2.99,3
TRX000212,2024-06-13,12,0,1
TRX000213,2024-07-13,7,0,3
TRX000214,2024-10-26,10,0,3
TRX000215,2024-06-23,13,0,4
TRX000216,2024-07-08,16,0,4
TRX000217,2024-08-04,10,2.99,1
TRX000218,2024-08-16,9,2.99,3
TRX000219,2024-08-25,12,0,1
TRX000220,2024-08-11,9,2.99,6
TRX000221,2024-09-09,5,0,3
TRX000222,2024-05-14,14,0,2
TRX000223,2024-07-18,13,0,3
TRX000224,2024-08-31,12,0,3
TRX000225,2024-06-02,7,0,1
TRX000226,2024-07-28,7,0,3
TRX000227,2024-08-10,14,0,4
TRX000228,2024-06-16,9,0,3
TRX000229,2024-05-22,14,0,1
TRX000230,2024-10-23,8,4.99,3
TRX000231,2024-08-24,16,0,1
TRX000232,2024-08-07,12,0,2
TRX000233,2024-07-12,7,0,5
TRX000234,2024-05-07,10,0,2
TRX000235,2024-07-03,10,0,3
TRX000236,2024-10-06,12,2.99,5
TRX000237,2024-05-26,12,0,1
TRX000238,2024-07-05,11,0,1
TRX000239,2024-07-02,14,0,2
TRX000240,2024-10-02,10,0,3
TRX000241,2024-10-10,9,0,2
TRX000242,2024-08-26,8,0,1
TRX000243,2024-09-05,17,0,3
