ID_Transaccion,ID_Usuario,ID_Producto,Precio_Base_USD,Pct_Descto_Ludificacion,Cupon_USD,Precio_Final_USD
TRX000001,U00933,P0258,15.55,0.1,0,14.0
TRX000002,U01310,P0076,17.15,0.7,0,5.15
TRX000003,U01095,P0060,42.06,0.2,0,33.65
TRX000004,U00665,P0030,11.61,0.2,0,9.29
TRX000005,U01480,P0196,35.93,0.2,5,23.74
TRX000006,U00319,P0229,11.99,0.1,5,5.79
TRX000007,U00387,P0292,5.52,0.2,0,4.42
TRX000008,U00148,P0219,7.58,0.1,10,0.99
TRX000009,U00774,P0197,88.66,0.5,5,39.33
TRX000010,U00020,P0055,55.3,0.2,10,34.24
TRX000011,U00630,P0170,11.1,0.2,0,8.88
TRX000012,U00291,P0001,57.01,0.7,0,17.1
TRX000013,U01407,P0058,5.0,0.1,10,0.99
TRX000014,U00089,P0078,47.67,0.1,5,37.9
TRX000015,U00714,P0054,17.74,0.1,0,15.97
TRX000016,U00656,P0076,5.0,0.1,5,0.99
TRX000017,U00186,P0166,33.34,0.1,0,30.01
TRX000018,U01340,P0126,25.84,0.1,5,18.26
TRX000019,U01080,P0296,25.61,0.1,0,23.05
TRX000020,U00226,P0031,21.03,0.7,0,6.31
TRX000021,U00497,P0108,22.81,0.1,10,10.53
TRX000022,U01437,P0055,55.57,0.2,0,44.46
TRX000023,U00026,P0292,30.11,0.5,0,15.05
TRX000024,U00910,P0007,5.82,0.1,0,5.24
TRX000025,U01393,P0233,5.0,0.7,5,0.99
TRX000026,U00434,P0206,24.92,0.2,0,19.94
TRX000027,U00978,P0161,12.58,0.1,0,11.32
TRX000028,U00058,P0123,13.21,0.1,5,6.89
TRX000029,U01308,P0017,20.5,0.2,0,16.4
TRX000030,U00579,P0204,24.46,0.2,0,19.57
TRX000031,U01032,P0052,5.04,0.0,5,0.99
TRX000032,U00162,P0048,8.96,0.9,0,0.99
TRX000033,U00917,P0068,13.45,0.7,0,4.04
TRX000034,U01162,P0255,28.65,0.0,0,28.65
TRX000035,U00932,P0161,27.76,0.0,5,22.76
TRX000036,U00525,P0227,26.24,0.2,0,20.99
TRX000037,U01270,P0067,8.22,0.2,0,6.58
TRX000038,U01272,P0030,8.46,0.5,0,4.23
TRX000039,U00150,P0115,10.17,0.0,0,10.17
TRX000040,U00813,P0222,14.54,0.1,0,13.09
TRX000041,U00571,P0233,31.57,0.2,5,20.26
TRX000042,U00881,P0243,7.49,0.1,0,6.74
TRX000043,U00291,P0036,19.12,0.7,0,5.74
TRX000044,U00878,P0176,16.7,0.9,0,1.67
TRX000045,U01427,P0224,9.47,0.1,0,8.52
TRX000046,U00030,P0078,67.7,0.7,10,10.31
TRX000047,U00923,P0065,9.4,0.2,0,7.52
TRX000048,U00430,P0098,32.57,0.9,5,0.99
TRX000049,U01433,P0256,11.9,0.2,0,9.52
TRX000050,U00878,P0192,53.05,0.1,5,42.74
TRX000051,U01438,P0051,85.46,0.1,5,71.91
TRX000052,U01298,P0228,17.22,0.2,10,3.78
TRX000053,U00235,P0101,67.72,0.1,5,55.95
TRX000054,U00768,P0115,43.43,0.2,0,34.74
TRX000055,U00009,P0213,24.06,0.5,10,2.03
TRX000056,U00496,P0285,7.54,0.9,0,0.99
TRX000057,U01492,P0089,11.31,0.1,0,10.18
TRX000058,U01133,P0082,19.49,0.7,0,5.85
TRX000059,U01172,P0196,72.66,0.9,5,2.27
TRX000060,U01488,P0194,58.67,0.5,5,24.34
TRX000061,U00228,P0236,29.0,0.1,0,26.1
TRX000062,U00207,P0252,33.59,0.5,0,16.8
TRX000063,U01298,P0231,24.07,0.0,0,24.07
TRX000064,U00992,P0280,6.34,0.0,5,1.34
TRX000065,U00443,P0187,30.58,0.1,0,27.52
TRX000066,U01451,P0283,15.91,0.2,0,12.73
TRX000067,U01408,P0144,28.85,0.5,5,9.43
TRX000068,U01222,P0140,5.0,0.5,5,0.99
TRX000069,U00921,P0086,94.46,0.1,0,85.01
TRX000070,U00235,P0093,7.24,0.5,0,3.62
TRX000071,U00251,P0005,19.12,0.1,0,17.21
TRX000072,U00211,P0288,10.91,0.1,5,4.82
TRX000073,U00656,P0102,32.14,0.2,10,15.71
TRX000074,U01181,P0011,36.54,0.1,5,27.89
TRX000075,U00076,P0274,24.45,0.2,0,19.56
TRX000076,U00820,P0041,9.71,0.2,0,7.77
TRX000077,U00766,P0053,25.69,0.0,0,25.69
TRX000078,U01101,P0003,7.52,0.7,10,0.99
TRX000079,U00675,P0195,18.9,0.1,0,17.01
TRX000080,U01305,P0229,30.28,0.2,5,19.22
TRX000081,U00463,P0048,18.95,0.0,5,13.95
TRX000082,U00124,P0109,6.69,0.0,0,6.69
TRX000083,U00639,P0233,8.41,0.1,0,7.57
TRX000084,U00385,P0036,35.81,0.1,0,32.23
TRX000085,U00226,P0124,48.64,0.1,0,43.78
TRX000086,U00435,P0078,24.15,0.1,0,21.73
TRX000087,U00398,P0151,24.17,0.1,5,16.75
TRX000088,U00236,P0028,32.8,0.7,5,4.84
TRX000089,U00803,P0202,57.22,0.7,0,17.17
TRX000090,U00007,P0049,32.29,0.1,10,19.06
TRX000091,U01396,P0036,28.77,0.2,10,13.02
TRX000092,U00350,P0005,22.53,0.2,10,8.02
TRX000093,U01162,P0149,33.08,0.1,0,29.77
TRX000094,U01118,P0132,46.93,0.2,0,37.54
TRX000095,U00231,P0139,12.1,0.0,10,2.1
TRX000096,U00737,P0106,13.84,0.5,0,6.92
TRX000097,U01080,P0090,17.89,0.7,0,5.37
TRX000098,U01255,P0063,16.17,0.2,0,12.94
TRX000099,U01395,P0077,10.44,0.2,0,8.35
TRX000100,U01215,P0064,80.93,0.0,0,80.93
TRX000101,U01029,P0288,24.3,0.1,10,11.87
TRX000102,U00510,P0198,42.16,0.2,10,23.73
TRX000103,U01391,P0166,23.26,0.5,0,11.63
TRX000104,U01118,P0094,16.01,0.1,10,4.41
TRX000105,U00960,P0182,9.48,0.2,0,7.58
TRX000106,U00497,P0298,25.17,0.2,0,20.14
TRX000107,U00826,P0004,5.36,0.2,10,0.99
TRX000108,U00596,P0290,33.36,0.2,0,26.69
TRX000109,U01058,P0074,5.0,0.1,10,0.99
TRX000110,U00994,P0103,11.68,0.1,0,10.51
TRX000111,U01036,P0228,5.0,0.1,0,4.5
TRX000112,U01348,P0064,5.01,0.2,5,0.99
TRX000113,U00976,P0246,14.95,0.9,0,1.49
TRX000114,U00304,P0015,43.82,0.1,0,39.44
TRX000115,U00088,P0182,48.15,0.5,0,24.07
TRX000116,U01051,P0033,68.53,0.1,0,61.68
TRX000117,U01349,P0156,26.22,0.5,0,13.11
TRX000118,U00266,P0166,14.71,0.2,5,6.77
TRX000119,U00475,P0050,12.46,0.2,0,9.97
TRX000120,U01492,P0197,16.94,0.5,0,8.47
TRX000121,U00767,P0016,37.5,0.2,0,30.0
TRX000122,U00462,P0104,15.82,0.5,0,7.91
TRX000123,U00417,P0018,37.45,0.1,0,33.71
TRX000124,U00390,P0107,11.6,0.2,0,9.28
TRX000125,U00876,P0193,41.65,0.1,5,32.48
TRX000126,U00594,P0129,29.69,0.1,0,26.72
TRX000127,U00818,P0030,5.0,0.2,10,0.99
TRX000128,U00286,P0105,16.98,0.2,5,8.58
TRX000129,U00709,P0037,56.1,0.2,0,44.88
TRX000130,U01040,P0116,21.24,0.2,0,16.99
TRX000131,U00402,P0274,10.94,0.2,0,8.75
TRX000132,U01126,P0071,31.14,0.1,0,28.03
TRX000133,U00488,P0119,22.09,0.2,5,12.67
TRX000134,U00157,P0030,7.26,0.1,0,6.53
TRX000135,U01242,P0204,13.4,0.0,0,13.4
TRX000136,U00909,P0155,66.87,0.7,5,15.06
TRX000137,U00111,P0178,55.37,0.2,0,44.3
TRX000138,U00252,P0191,8.97,0.5,5,0.99
TRX000139,U00044,P0256,27.88,0.2,0,22.3
TRX000140,U00788,P0228,35.72,0.0,0,35.72
